Number,Species,Size,Treatment,Survival
,Acanthinucella,,0,1
,Acanthinucella,,0,1
,Acanthinucella,,0,1
,Acanthinucella,,0,1
,Acanthinucella,,0,1
3,Mexacanthina,2.35,0,1
7,Mexacanthina,2.26,0,1
16,Mexacanthina,3.21,0,1
50,Mexacanthina,2.04,0,1
52,Mexacanthina,1.72,0,1
6,Nucella,0.9,0,1
8,Nucella,0.67,0,1
17,Nucella,1.76,0,1
42,Nucella,1,0,1
46,Nucella,1.63,0,1
,Acanthinucella,,18.5,1
,Acanthinucella,,18.5,1
,Acanthinucella,,18.5,1
,Acanthinucella,,18.5,1
,Acanthinucella,,18.5,1
55,Mexacanthina,2.97,18.5,1
56,Mexacanthina,3.98,18.5,1
57,Mexacanthina,1.7,18.5,1
59,Mexacanthina,2.68,18.5,1
60,Mexacanthina,1.73,18.5,1
10,Nucella,0.86,18.5,1
49,Nucella,1.75,18.5,1
53,Nucella,0.62,18.5,1
54,Nucella,1.7,18.5,1
58,Nucella,1.57,18.5,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
,Acanthinucella,,32,1
15,Mexacanthina,1.35,32,1
19,Mexacanthina,2.93,32,1
24,Mexacanthina,2.58,32,1
35,Mexacanthina,2.44,32,1
40,Mexacanthina,2.09,32,1
4,Nucella,1.35,32,1
26,Nucella,1.14,32,1
29,Nucella,0.71,32,1
37,Nucella,1.68,32,0
41,Nucella,1.25,32,0
,Acanthinucella,,35,1
,Acanthinucella,,35,1
,Acanthinucella,,35,1
,Acanthinucella,,35,1
,Acanthinucella,,35,0
11,Mexacanthina,1.44,35,1
27,Mexacanthina,1.83,35,1
34,Mexacanthina,1.6,35,1
38,Mexacanthina,2.78,35,1
51,Mexacanthina,2.09,35,1
25,Nucella,0.47,35,0
28,Nucella,0.64,35,0
36,Nucella,1.82,35,0
39,Nucella,3.35,35,0
48,Nucella,0.91,35,0
,Acanthinucella,,38,1
,Acanthinucella,,38,0
,Acanthinucella,,38,0
,Acanthinucella,,38,0
,Acanthinucella,,38,0
5,Mexacanthina,2.17,38,0
12,Mexacanthina,3.76,38,0
22,Mexacanthina,3.9,38,1
32,Mexacanthina,2.64,38,1
44,Mexacanthina,3.25,38,1
18,Nucella,2.15,38,0
23,Nucella,1.6,38,0
30,Nucella,1.43,38,0
45,Nucella,1.93,38,0
1,Nucella,2.7,38,0
9,Mexacanthina,2.4,41,0
21,Mexacanthina,3.38,41,0
31,Mexacanthina,2.97,41,0
43,Mexacanthina,4.07,41,0
47,Mexacanthina,3.71,41,0
2,Nucella,1.94,41,0
13,Nucella,1.49,41,0
14,Nucella,2.83,41,0
20,Nucella,0.8,41,0
33,Nucella,2.71,41,0
,Acanthinucella,,41,0
,Acanthinucella,,41,0
,Acanthinucella,,41,0
,Acanthinucella,,41,0
,Acanthinucella,,41,0